inflows_active_annual_income,inflows_livret_A,inflows_livret_LDDS,inflows_livret_LEP,inflows_annual_rate_livret_A,inflows_annual_rate_livret_LDDS,inflows_annual_rate_livret_LEP,inflows_max_livret_A,inflows_max_livret_LDDS,inflows_max_livret_LEP,inflows_starting_assets,inflows_monthly_pension,inflows_premium,strategy_saving_plan,misc_food_beverages,misc_sports,misc_arts,misc_nightlife,misc_phone_internet_and_so,outflows_rent,outflows_credit_card_payment,outflows_medical_insurance,outflows_pension_contribution,outflows_misc,outflows_retirement_medical_expenses,outflows_retirement_misc,variables_start_date,variables_state,variables_years,variables_retirement_year,variables_tax_on_active_income_gains,variables_avg_ann_income_raise,variables_avg_ann_inflation,variables_tax_on_investment_gains,variables_avg_monthly_market_returns,variables_avg_monthly_market_volatility
57600.0,11000.0,10.0,0.0,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,03/01/2024,init,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
57600.0,11027.5,10.025,2600.0,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,04/01/2024,init,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
57600.0,11055.06875,10.050062500000001,5210.833333333334,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,05/01/2024,init,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
57600.0,11082.706421875,10.075187656250002,7832.54513888889,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,06/01/2024,init,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
57600.0,11575.593931563948,10.100375625390626,10000.0,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,07/01/2024,init,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,15404.532916392858,10.125626564454103,10041.666666666666,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,07/01/2024,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,19243.04424868384,10.15094063086524,10083.333333333332,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,08/01/2024,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,22950.0,151.3281772879904,10124.999999999998,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,09/01/2024,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23007.375,3951.70649773121,10166.666666666664,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,10/01/2024,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23064.75,7761.585763975538,10208.33333333333,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,11/01/2024,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23122.125,11580.989728385477,10249.999999999996,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,12/01/2024,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23179.5,15409.942202706441,10291.666666666662,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,01/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23236.875,19248.46705821321,10333.333333333328,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1500.0,30.0,350.0,0.0,320.0,850.0,2000.0,02/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23294.25,22950.0,10374.999999999995,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,03/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23351.625,23007.375,10416.66666666666,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,04/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23409.0,23064.75,10458.333333333327,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,05/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23466.375,23122.125,10499.999999999993,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,06/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23523.75,23179.5,10541.666666666659,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,07/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23581.125,23236.875,10583.333333333325,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,08/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23638.5,23294.25,10624.99999999999,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,09/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23695.875,23351.625,10666.666666666657,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,10/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23753.25,23409.0,10708.333333333323,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,11/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23810.625,23466.375,10749.999999999989,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,12/01/2025,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23868.0,23523.75,10791.666666666655,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,01/01/2026,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23925.375,23581.125,10833.333333333321,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1522.4999999999998,30.449999999999996,355.24999999999994,0.0,324.79999999999995,850.0,2000.0,02/01/2026,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,23982.75,23638.5,10874.999999999987,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1545.3374999999996,30.90674999999999,360.5787499999999,0.0,329.6719999999999,850.0,2000.0,03/01/2026,updated,36.0,36.0,0.0,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,24040.125,23695.875,10916.666666666653,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1545.3374999999996,30.90674999999999,360.5787499999999,0.0,329.6719999999999,850.0,2000.0,04/01/2026,updated,36.0,36.0,0.2,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
72000.0,24097.5,23753.25,10958.33333333332,0.03,0.03,0.05,22950.0,22950.0,10000.0,0.0,2000.0,0.0,55900.0,1000.0,100.0,100.0,300.0,100.0,1545.3374999999996,30.90674999999999,360.5787499999999,0.0,329.6719999999999,850.0,2000.0,05/01/2026,updated,36.0,36.0,0.2,0.0,0.015,0.2,0.0105316978963805,0.0428644829716139
